
time,AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,MagnetometerX,MagnetometerY,MagnetometerZ
0.1240,-0.0503,0.0961,0.9905,-0.3813646733760834,-0.0926780104637146,0.08735168725252151,17.600000381469727,-3.6000001430511475,36.400001525878906
0.1250,-0.0503,0.0961,0.9905,-0.3813646733760834,-0.0926780104637146,0.08735168725252151,17.600000381469727,-3.6000001430511475,36.400001525878906
0.1260,-0.0503,0.0961,0.9905,0.026631612330675125,-0.003195793367922306,0.01065264455974102,17.600000381469727,-3.6000001430511475,36.400001525878906
0.1260,-0.0503,0.0961,0.9905,0.026631612330675125,-0.003195793367922306,0.01065264455974102,17.600000381469727,-3.6000001430511475,36.400001525878906
0.1270,-0.0503,0.0961,0.9905,0.026631612330675125,-0.003195793367922306,0.01065264455974102,17.600000381469727,-3.6000001430511475,36.400001525878906
0.1410,-0.0503,0.0961,0.9905,0.026631612330675125,-0.003195793367922306,0.01065264455974102,17.600000381469727,-3.6000001430511475,36.400001525878906
0.3030,-0.0555,0.1008,0.9839,0.026631612330675125,-0.003195793367922306,0.01065264455974102,17.600000381469727,-3.6000001430511475,36.400001525878906
0.3030,-0.0555,0.1008,0.9839,0.026631612330675125,-0.003195793367922306,0.01065264455974102,17.700000762939453,-3.6000001430511475,36.400001525878906
0.3040,-0.0555,0.1008,0.9839,0.041545312851667404,0.034088462591171265,-0.006391586735844612,17.700000762939453,-3.6000001430511475,36.400001525878906
0.3050,-0.0555,0.1008,0.9839,0.041545312851667404,0.034088462591171265,-0.006391586735844612,17.700000762939453,-3.6000001430511475,36.400001525878906
0.3050,-0.0555,0.1008,0.9839,0.041545312851667404,0.034088462591171265,-0.006391586735844612,17.700000762939453,-3.6000001430511475,36.400001525878906
0.3210,-0.0555,0.1008,0.9839,0.041545312851667404,0.034088462591171265,-0.006391586735844612,17.700000762939453,-3.6000001430511475,36.400001525878906
0.4880,-0.0531,0.1025,0.9654,0.041545312851667404,0.034088462591171265,-0.006391586735844612,17.700000762939453,-3.6000001430511475,36.400001525878906
0.4890,-0.0531,0.1025,0.9654,0.041545312851667404,0.034088462591171265,-0.006391586735844612,17.700000762939453,-3.6000001430511475,36.5
0.4900,-0.0531,0.1025,0.9654,0.007456851191818714,-0.011717909015715122,0.014913702383637428,17.700000762939453,-3.6000001430511475,36.5
0.4900,-0.0531,0.1025,0.9654,0.007456851191818714,-0.011717909015715122,0.014913702383637428,17.700000762939453,-3.6000001430511475,36.5
0.4910,-0.0531,0.1025,0.9654,0.007456851191818714,-0.011717909015715122,0.014913702383637428,17.700000762939453,-3.6000001430511475,36.5
0.5060,-0.0531,0.1025,0.9654,0.007456851191818714,-0.011717909015715122,0.014913702383637428,17.700000762939453,-3.6000001430511475,36.5
0.6750,-0.0380,0.1013,0.9869,0.007456851191818714,-0.011717909015715122,0.014913702383637428,17.700000762939453,-3.6000001430511475,36.5
0.6780,-0.0380,0.1013,0.9869,0.007456851191818714,-0.011717909015715122,0.014913702383637428,17.700000762939453,-3.700000047683716,36.400001525878906
0.6810,-0.0380,0.1013,0.9869,-0.029827404767274857,-0.026631612330675125,0.019174760207533836,17.700000762939453,-3.700000047683716,36.400001525878906
0.6830,-0.0380,0.1013,0.9869,-0.029827404767274857,-0.026631612330675125,0.019174760207533836,17.700000762939453,-3.700000047683716,36.400001525878906
0.6860,-0.0380,0.1013,0.9869,-0.029827404767274857,-0.026631612330675125,0.019174760207533836,17.700000762939453,-3.700000047683716,36.400001525878906
0.6950,-0.0380,0.1013,0.9869,-0.029827404767274857,-0.026631612330675125,0.019174760207533836,17.700000762939453,-3.700000047683716,36.400001525878906
0.8600,-0.0363,0.0887,0.9926,-0.029827404767274857,-0.026631612330675125,0.019174760207533836,17.700000762939453,-3.700000047683716,36.400001525878906
0.8630,-0.0363,0.0887,0.9926,-0.029827404767274857,-0.026631612330675125,0.019174760207533836,17.700000762939453,-3.700000047683716,36.400001525878906
0.8650,-0.0363,0.0887,0.9926,0.06817692518234253,-0.034088462591171265,0.019174760207533836,17.700000762939453,-3.700000047683716,36.400001525878906
0.8670,-0.0363,0.0887,0.9926,0.06817692518234253,-0.034088462591171265,0.019174760207533836,17.700000762939453,-3.700000047683716,36.400001525878906
0.8690,-0.0363,0.0887,0.9926,0.06817692518234253,-0.034088462591171265,0.019174760207533836,17.700000762939453,-3.700000047683716,36.400001525878906
0.8790,-0.0363,0.0887,0.9926,0.06817692518234253,-0.034088462591171265,0.019174760207533836,17.700000762939453,-3.700000047683716,36.400001525878906
1.0390,-0.0434,0.0926,0.9882,0.06817692518234253,-0.034088462591171265,0.019174760207533836,17.700000762939453,-3.700000047683716,36.400001525878906
1.0410,-0.0434,0.0926,0.9882,0.06817692518234253,-0.034088462591171265,0.019174760207533836,17.700000762939453,-3.700000047683716,36.400001525878906
1.0440,-0.0434,0.0926,0.9882,-0.055393751710653305,0.007456851191818714,0.020240023732185364,17.700000762939453,-3.700000047683716,36.400001525878906
1.0460,-0.0434,0.0926,0.9882,-0.055393751710653305,0.007456851191818714,0.020240023732185364,17.700000762939453,-3.700000047683716,36.400001525878906
1.0480,-0.0434,0.0926,0.9882,-0.055393751710653305,0.007456851191818714,0.020240023732185364,17.700000762939453,-3.700000047683716,36.400001525878906
1.0580,-0.0434,0.0926,0.9882,-0.055393751710653305,0.007456851191818714,0.020240023732185364,17.700000762939453,-3.700000047683716,36.400001525878906
1.2240,-0.0387,0.0926,0.9833,-0.055393751710653305,0.007456851191818714,0.020240023732185364,17.700000762939453,-3.700000047683716,36.400001525878906
1.2270,-0.0387,0.0926,0.9833,-0.055393751710653305,0.007456851191818714,0.020240023732185364,17.700000762939453,-3.799999952316284,36.400001525878906
1.2280,-0.0387,0.0926,0.9833,0.04261057823896408,0.026631612330675125,-0.008522115647792816,17.700000762939453,-3.799999952316284,36.400001525878906
1.2290,-0.0387,0.0926,0.9833,0.04261057823896408,0.026631612330675125,-0.008522115647792816,17.700000762939453,-3.799999952316284,36.400001525878906
1.2300,-0.0387,0.0926,0.9833,0.04261057823896408,0.026631612330675125,-0.008522115647792816,17.700000762939453,-3.799999952316284,36.400001525878906
1.2400,-0.0387,0.0926,0.9833,0.04261057823896408,0.026631612330675125,-0.008522115647792816,17.700000762939453,-3.799999952316284,36.400001525878906
1.3980,-0.0484,0.0972,0.9780,0.04261057823896408,0.026631612330675125,-0.008522115647792816,17.700000762939453,-3.799999952316284,36.400001525878906
1.3990,-0.0484,0.0972,0.9780,0.04261057823896408,0.026631612330675125,-0.008522115647792816,17.80000114440918,-3.799999952316284,36.400001525878906
1.3990,-0.0484,0.0972,0.9780,-0.002130528911948204,0.001065264455974102,-0.009587380103766918,17.80000114440918,-3.799999952316284,36.400001525878906
1.3990,-0.0484,0.0972,0.9780,-0.002130528911948204,0.001065264455974102,-0.009587380103766918,17.80000114440918,-3.799999952316284,36.400001525878906
1.4000,-0.0484,0.0972,0.9780,-0.002130528911948204,0.001065264455974102,-0.009587380103766918,17.80000114440918,-3.799999952316284,36.400001525878906
1.4210,-0.0484,0.0972,0.9780,-0.002130528911948204,0.001065264455974102,-0.009587380103766918,17.80000114440918,-3.799999952316284,36.400001525878906
1.5820,-0.0390,0.0944,0.9721,-0.002130528911948204,0.001065264455974102,-0.009587380103766918,17.80000114440918,-3.799999952316284,36.400001525878906
1.5850,-0.0390,0.0944,0.9721,-0.002130528911948204,0.001065264455974102,-0.009587380103766918,17.80000114440918,-3.799999952316284,36.400001525878906
1.5870,-0.0390,0.0944,0.9721,-0.022370554506778717,-0.008522115647792816,0.020240023732185364,17.80000114440918,-3.799999952316284,36.400001525878906
1.5880,-0.0390,0.0944,0.9721,-0.022370554506778717,-0.008522115647792816,0.020240023732185364,17.80000114440918,-3.799999952316284,36.400001525878906
1.5890,-0.0390,0.0944,0.9721,-0.022370554506778717,-0.008522115647792816,0.020240023732185364,17.80000114440918,-3.799999952316284,36.400001525878906
1.6030,-0.0390,0.0944,0.9721,-0.022370554506778717,-0.008522115647792816,0.020240023732185364,17.80000114440918,-3.799999952316284,36.400001525878906
1.7670,-0.0439,0.0931,0.9903,-0.022370554506778717,-0.008522115647792816,0.020240023732185364,17.80000114440918,-3.799999952316284,36.400001525878906
1.7680,-0.0439,0.0931,0.9903,-0.022370554506778717,-0.008522115647792816,0.020240023732185364,17.80000114440918,-3.799999952316284,36.400001525878906
1.7700,-0.0439,0.0931,0.9903,0.01065264455974102,0.006391586735844612,0.002130528911948204,17.80000114440918,-3.799999952316284,36.400001525878906
1.7710,-0.0439,0.0931,0.9903,0.01065264455974102,0.006391586735844612,0.002130528911948204,17.80000114440918,-3.799999952316284,36.400001525878906
1.7720,-0.0439,0.0931,0.9903,0.01065264455974102,0.006391586735844612,0.002130528911948204,17.80000114440918,-3.799999952316284,36.400001525878906
1.7850,-0.0439,0.0931,0.9903,0.01065264455974102,0.006391586735844612,0.002130528911948204,17.80000114440918,-3.799999952316284,36.400001525878906
1.9650,-0.0507,0.0905,0.9828,0.01065264455974102,0.006391586735844612,0.002130528911948204,17.80000114440918,-3.799999952316284,36.400001525878906
1.9660,-0.0507,0.0905,0.9828,0.01065264455974102,0.006391586735844612,0.002130528911948204,17.899999618530273,-3.9000000953674316,36.400001525878906
1.9670,-0.0507,0.0905,0.9828,0.024501081556081772,0.017044231295585632,-0.009587380103766918,17.899999618530273,-3.9000000953674316,36.400001525878906
1.9680,-0.0507,0.0905,0.9828,0.024501081556081772,0.017044231295585632,-0.009587380103766918,17.899999618530273,-3.9000000953674316,36.400001525878906
1.9690,-0.0507,0.0905,0.9828,0.024501081556081772,0.017044231295585632,-0.009587380103766918,17.899999618530273,-3.9000000953674316,36.400001525878906
1.9700,-0.0507,0.0905,0.9828,0.024501081556081772,0.017044231295585632,-0.009587380103766918,17.899999618530273,-3.9000000953674316,36.400001525878906
2.1290,-0.0474,0.0923,0.9828,0.024501081556081772,0.017044231295585632,-0.009587380103766918,17.899999618530273,-3.9000000953674316,36.400001525878906
2.1300,-0.0474,0.0923,0.9828,0.024501081556081772,0.017044231295585632,-0.009587380103766918,17.899999618530273,-4.0,36.5
2.1320,-0.0474,0.0923,0.9828,0.022370554506778717,0.009587380103766918,0.014913702383637428,17.899999618530273,-4.0,36.5
2.1320,-0.0474,0.0923,0.9828,0.022370554506778717,0.009587380103766918,0.014913702383637428,17.899999618530273,-4.0,36.5
2.1330,-0.0474,0.0923,0.9828,0.022370554506778717,0.009587380103766918,0.014913702383637428,17.899999618530273,-4.0,36.5
2.1490,-0.0474,0.0923,0.9828,0.022370554506778717,0.009587380103766918,0.014913702383637428,17.899999618530273,-4.0,36.5
2.3150,-0.0495,0.0916,0.9808,0.022370554506778717,0.009587380103766918,0.014913702383637428,17.899999618530273,-4.0,36.5
2.3190,-0.0495,0.0916,0.9808,0.022370554506778717,0.009587380103766918,0.014913702383637428,17.899999618530273,-4.0,36.60000228881836
2.3200,-0.0495,0.0916,0.9808,0.0,-0.008522115647792816,-0.009587380103766918,17.899999618530273,-4.0,36.60000228881836
2.3220,-0.0495,0.0916,0.9808,0.0,-0.008522115647792816,-0.009587380103766918,17.899999618530273,-4.0,36.60000228881836
